Faqir Colony	 Metroville
 Metroville	 Bawany Ghali
 Bawany Ghali	 Valika Mill
 Valika Mill	 Habbib Bank
 Habbib Bank	 Petrol Pump
 Petrol Pump	 Lasbela
 Lasbela	 SabilwaliMasjid
 SabilwaliMasjid	 Old Exhibition
 Old Exhibition	 Sadar
 Sadar	 Frere Road
 Frere Road	 Burns Road
 Burns Road	 Bandar Road
 Bandar Road	 TowerNazimabd
 TowerNazimabd	 Bara Maidan
 Bara Maidan	 Lasbela
 Lasbela	 Lawrence Road
 Lawrence Road	 Barness Street
 Barness Street	 Bandar Road
 Bandar Road	 Tower
 Tower	 M.P.R Colony
 M.P.R Colony	 Qasba Colony
 Qasba Colony	 Banaras Colony
 Banaras Colony	 Pathan Colony
 Pathan Colony	 S.I.T.E
 S.I.T.E	 Habib Bank
 Habib Bank	 Bismillah
 Bismillah	 Hotel
 Hotel	 Gandhi Garden
 Gandhi Garden	 Garden Road
 Garden Road	 Plaza
 Plaza	 Regal
 Regal	 Shahra-e-Liaquat
 Shahra-e-Liaquat	 National Museum
 National Museum	 Tower
 Tower	 Sultanabad
 Sultanabad	 Ittehad Town
 Ittehad Town	 Torri Chowk Sector II
 Torri Chowk Sector II	 Orangi Township
 Orangi Township	 Banaras Colony
 Banaras Colony	 Pathan Colony
 Pathan Colony	 PetrolPump
 PetrolPump	 Liaquatabad No. 10
 Liaquatabad No. 10	 Liaquatabad
 Liaquatabad	 Post Office
 Post Office	 Teen Hatti
 Teen Hatti	 Jehangir Road
 Jehangir Road	 Empress Market
 Empress Market	 Cantt Station
 Cantt Station	 Naval Colony
 Naval Colony	 Mauripur
 Mauripur	 Gulbai Chowk
 Gulbai Chowk	 Tower
 Tower	 Juna Market
 Juna Market	 Ramswami
 Ramswami	 Garden Bara
 Garden Bara	 Orangi Township No. 10M.W Tower
 Orangi Township No. 10M.W Tower	 Frere Road
 Frere Road	 Sadar
 Sadar	 Numaish
 Numaish	 Goro Mandir
 Goro Mandir	 Teen Hatti
 Teen Hatti	 Liaquat No. 10
 Liaquat No. 10	 Petrol Pump
 Petrol Pump	Nazimabad No. 2
Nazimabad No. 2	 Gandhi Chowk
 Gandhi Chowk	 Paposh Nagar
 Paposh Nagar	 Abdullah College
 Abdullah College	 Metro Cinema
 Metro Cinema	 Data Chowk
 Data Chowk	Orangi Town
Orangi Town	Gulshan-e-Bahar
Gulshan-e-Bahar	 Orangi Sector No. 14
 Orangi Sector No. 14	 Orangi Sector No. 13
 Orangi Sector No. 13	 Orangi Sector No. 7
 Orangi Sector No. 7	Orangi
Orangi	Sector No. 5
Sector No. 5	 Qadafi Chowk
 Qadafi Chowk	 Qasba Mour
 Qasba Mour	 Banaras Colony
 Banaras Colony	 Valika Hospital
 Valika Hospital	 Valika Mill
 Valika Mill	 Habib Bank
 Habib Bank	 S.I.T.E
 S.I.T.E	 Post Office
 Post Office	 Maroon Mill
 Maroon Mill	 Laltain Factory
 Laltain Factory	 Ghani Chowk
 Ghani Chowk	 Shershah
 Shershah	 Miran Naka
 Miran Naka	Chakiwara
Chakiwara	 Lee Market
 Lee Market	 Kharadar
 Kharadar	 Jamat Khana
 Jamat Khana	 Tower
 Tower	Tower
Tower	 Regal Cinema
 Regal Cinema	 Plaza
 Plaza	 Garden
 Garden	 Pakistan Quarters
 Pakistan Quarters	 Bara Board
 Bara Board	 Banaras
 Banaras	 Qasba Mour
 Qasba Mour	Orangi Sector No. 1
Orangi Sector No. 1	 Metro Cinema
 Metro Cinema	 Orangi Sector No. 5
 Orangi Sector No. 5	 Masjid-e-Usman
 Masjid-e-Usman	Nursery
Nursery	 P.E.C.H.S
 P.E.C.H.S	 Society Office
 Society Office	 Jamshed Road
 Jamshed Road	 New Town Masjid
 New Town Masjid	 Municipal Dispensary
 Municipal Dispensary	Guru Mandir
Guru Mandir	 K.M.C Primary School
 K.M.C Primary School	 Old Exhibition
 Old Exhibition	 Plaza Cinema
 Plaza Cinema	 Saeed Manzil
 Saeed Manzil	 Boulton
 Boulton	Market
Market	 Tower
 Tower	

Lal Kothi	 Nursery
 Nursery	 Shahrah-e-Millat Road
 Shahrah-e-Millat Road	 Jamaluddin Afghani Road
 Jamaluddin Afghani Road	 Khalid Bin Walid Road
 Khalid Bin Walid Road	

P.E.C.H.S	 Society Office
 Society Office	 Kudadad Colony
 Kudadad Colony	 M.A Jinnah Road
 M.A Jinnah Road	 Frere Street
 Frere Street	 Preedy Street
 Preedy Street	 Frere Road
 Frere Road	 Burns Road
 Burns Road	 Bunder Road
 Bunder Road	 Tower
 Tower	

End of Sector 4 Baldia Town	 Shershah
 Shershah	 Gulbai
 Gulbai	 Kharadar
 Kharadar	 Tower
 Tower	 City P.O Burns Road
 City P.O Burns Road	 Frere Road
 Frere Road	 Regal
 Regal	 Empress Market
 Empress Market	 Katrak Road
 Katrak Road	 M.A Jinnah Road
 M.A Jinnah Road	 Old Exhibition
 Old Exhibition	 Shahrah-eQaideen
 Shahrah-eQaideen	 Khudadad Colony
 Khudadad Colony	 Qabrustan
 Qabrustan	 Tariq Road
 Tariq Road	 Bahadurabad
 Bahadurabad	 Khatoon-e-Pakistan College
 Khatoon-e-Pakistan College	 Dhoraji Society
 Dhoraji Society	

Gulistan-e-Johar	 Sufari Park
 Sufari Park	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	 Civic Centre
 Civic Centre	 Sabzi Mandi
 Sabzi Mandi	 Jail Road
 Jail Road	

Hyderabad Colony	 Guru Mandir
 Guru Mandir	 Numaish
 Numaish	 Saddar
 Saddar	 Regal
 Regal	 Saeed Manzil
 Saeed Manzil	 M.A Jinnah Road
 M.A Jinnah Road	

Super Market (Near Maymar Flats)	 Sehrah Goth
 Sehrah Goth	 Water Pump
 Water Pump	 Fazal Mills
 Fazal Mills	 Rashid Minhas Road
 Rashid Minhas Road	

Moti Mahal	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	 Mouchi Mor No 5
 Mouchi Mor No 5	 Urdu College
 Urdu College	 Hasan Square
 Hasan Square	 Sabzi Mandi
 Sabzi Mandi	

Bahadurabad	 Tariq Road
 Tariq Road	 Nursery
 Nursery	 Gora Qabrustan
 Gora Qabrustan	 Fleet Club Shahrah-e-Iraq
 Fleet Club Shahrah-e-Iraq	 Masid-e-Khizra
 Masid-e-Khizra	

Burns Road	 M.A Jinnah Road
 M.A Jinnah Road	 Tower
 Tower	 Khoja Jamat Khana
 Khoja Jamat Khana	 Baghdadi
 Baghdadi	 Agra Taj Colony
 Agra Taj Colony	

Azam Basti	 Corporation
 Corporation	 Kalapul
 Kalapul	 Jinnah Hospital
 Jinnah Hospital	 Saddar
 Saddar	 7th Day Hospital
 7th Day Hospital	 Numaish
 Numaish	 Guru Mandir
 Guru Mandir	 Islamia College
 Islamia College	 Jail Road
 Jail Road	 New Town Police Station
 New Town Police Station	 Sabzi Mandi
 Sabzi Mandi	 Civic Centre
 Civic Centre	 Urdu College
 Urdu College	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	 Safari Park
 Safari Park	 University Road
 University Road	 Safoora Goth
 Safoora Goth	

Power House	 Nursery
 Nursery	 Saddar
 Saddar	 Tower
 Tower	 Al-Noor Gulberg
 Al-Noor Gulberg	 Water Pump
 Water Pump	 Karimabad
 Karimabad	 Dockyard
 Dockyard	

Water Pump	 Lalukhat
 Lalukhat	 Teen Hatti
 Teen Hatti	 Guru Mandir
 Guru Mandir	 Saddar
 Saddar	 Tower
 Tower	 Dockyard
 Dockyard	

Drigh Colony Sector No 3	 Iqbal Shaheed Road
 Iqbal Shaheed Road	 Fleet Club
 Fleet Club	 Nursery
 Nursery	

Drigh Colony sector No 3	 Drigh Road Station
 Drigh Road Station	 Karsaz lal kothi
 Karsaz lal kothi	 Nursery
 Nursery	 Shahrah-e-qaideen
 Shahrah-e-qaideen	Numaish
Numaish	 Tower
 Tower	 Wood street
 Wood street	 Frere Road
 Frere Road	 Burns Road
 Burns Road	 M.A jinnah Road
 M.A jinnah Road	

Nasir Colony	 Landhi No. 1
 Landhi No. 1	 Malir
 Malir	 Drigh Road
 Drigh Road	 Cantt Station
 Cantt Station	 Karsaz
 Karsaz	 National Stadium
 National Stadium	 CivicCentre
 CivicCentre	 Liaquatabad No. 16
 Liaquatabad No. 16	 Aisha Manzil
 Aisha Manzil	 Water Pump
 Water Pump	 Sohrab Goth
 Sohrab Goth	 Power House
 Power House	 New Karachi
 New Karachi	 Godhra Camp
 Godhra Camp	

Nasir Colony	 Korangi No 4
 Korangi No 4	 Korangi No 6
 Korangi No 6	 Landhi No 1
 Landhi No 1	 Malir
 Malir	 Drigh Road
 Drigh Road	 Karsaz
 Karsaz	 National stadium
 National stadium	 Civic Centre
 Civic Centre	 Liaquatabad No 10
 Liaquatabad No 10	 Karimabad
 Karimabad	 Aisha manzil
 Aisha manzil	 Water Pump
 Water Pump	 Sohrab goth
 Sohrab goth	Power house
Power house	 Godhra camp
 Godhra camp	

Saddar	 Jinnah central hospital
 Jinnah central hospital	 Kalapul
 Kalapul	 Korangi Road
 Korangi Road	 Korangi No 5-1/2
 Korangi No 5-1/2	 Dhobi Ghat
 Dhobi Ghat	Ghouspak
Ghouspak	 Coast guard
 Coast guard	 Korangi No 2
 Korangi No 2	 Nasir Colony
 Nasir Colony	 Chamra Chowrangi
 Chamra Chowrangi	 Jam saddiq ali bridge
 Jam saddiq ali bridge	

Akhtar Colony	 Kalapul
 Kalapul	 Jinnah hospital
 Jinnah hospital	 Lucky star
 Lucky star	 Saddar
 Saddar	 Dr. Dowood pota Road
 Dr. Dowood pota Road	 M.A jinnahRoad
 M.A jinnahRoad	 Guru Mandir
 Guru Mandir	 Islamia college
 Islamia college	 Jail Road
 Jail Road	 Agha khan hospital
 Agha khan hospital	 Dalmia
 Dalmia	 Driven Cinema
 Driven Cinema	

Rashid minhas Road	 N.I.P.A
 N.I.P.A	 Safari Park
 Safari Park	 Gulistan-e-Jauher
 Gulistan-e-Jauher	 Pehalwan Goth
 Pehalwan Goth	

Khadda Quarters	 Market No. 6
 Market No. 6	 Tasweer Mahal
 Tasweer Mahal	 100 Quarters
 100 Quarters	 Dhobi Ghat
 Dhobi Ghat	 Korangi No. 6
 Korangi No. 6	Qayumabad
Qayumabad	 Defence Society
 Defence Society	 Jinnah Hospital
 Jinnah Hospital	 Raja Ghazanfar Ali Road
 Raja Ghazanfar Ali Road	

Babar Market	 Landhi No. 3 1/2
 Landhi No. 3 1/2	 Landhi No. 5
 Landhi No. 5	 Korangi No. 6
 Korangi No. 6	 Korangi No. 5
 Korangi No. 5	 Korangi No. 3
 Korangi No. 3	

Korangi No. 1	 Korangi Crossing
 Korangi Crossing	 Qayumabad
 Qayumabad	 Akhtak Colony
 Akhtak Colony	 Defence Society
 Defence Society	 Kala Pul
 Kala Pul	 JinnahHospital
 JinnahHospital	 Luck Star Hotel
 Luck Star Hotel	 Hijaz Dairy Farm
 Hijaz Dairy Farm	

Babar Market	 Landhi 3-1/2
 Landhi 3-1/2	 Landhi No 5
 Landhi No 5	 Korangi No 6 
 Korangi No 6 	 Korangi No 5
 Korangi No 5	 Korangi No 3
 Korangi No 3	 Korangi No 1
 Korangi No 1	 Korangi Crossing
 Korangi Crossing	 Qayumabad
 Qayumabad	 Akhtar Colony
 Akhtar Colony	 Defence society
 Defence society	 Kalapul
 Kalapul	 Jinnah hospital
 Jinnah hospital	lucky star
lucky star	Khadda quaters
Khadda quaters	 Market No 6
 Market No 6	 Tasweer mahal
 Tasweer mahal	 Dhobi ghat
 Dhobi ghat	 Korangi No 6
 Korangi No 6	 Qayumabad
 Qayumabad	 Defencesociety
 Defencesociety	 Jinnah hospital
 Jinnah hospital	 Raja Ghazanfar Ali Road
 Raja Ghazanfar Ali Road	

Surjani Town	 Nagan Chowrangi
 Nagan Chowrangi	 Sohrab Goth
 Sohrab Goth	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	 Malir
 Malir	 Quaidabad
 Quaidabad	 Landhi
 Landhi	Korangi
Korangi	

Surjani Town	 Nagan Chowrangi
 Nagan Chowrangi	 Sohrab Goth
 Sohrab Goth	 N.I.P.A Chowrangi
 N.I.P.A Chowrangi	Gulshan-e-Iqbal 
Gulshan-e-Iqbal 	Malir
Malir	Quaidabad
Quaidabad	 Landhi
 Landhi	 Korangi
 Korangi	

P.A.T Colony	 Clifton bridge
 Clifton bridge	 Bleak house Road
 Bleak house Road	 Cantt Station
 Cantt Station	 Frere Road
 Frere Road	 Burns Road
 Burns Road	 S.M Mcleod Road
 S.M Mcleod Road	 Tower
 Tower	 Kemari
 Kemari	

Faqir Colony	 Mohajir camp No 7-1/2
 Mohajir camp No 7-1/2	 Shershah
 Shershah	 Estate avenue
 Estate avenue	 Habib bank
 Habib bank	 Nazimabad No 2
 Nazimabad No 2	

Liaquatabad No 10	 Essa nagari
 Essa nagari	 Hasan square
 Hasan square	 Sabzi mandi
 Sabzi mandi	 Bahadurabad
 Bahadurabad	 Tariq Road
 Tariq Road	

